GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
selic,com.challenge.selic,SelicApplication,5,3,0,0,2,1,1,1,1,1
selic,com.challenge.selic.config,WebConfig,29,0,0,0,3,0,2,0,2,0
selic,com.challenge.selic.config,ExceptionResponseWrapper,167,21,30,0,6,8,23,4,8,4
selic,com.challenge.selic.config,SwaggerConfig,0,39,0,0,0,10,0,4,0,4
selic,com.challenge.selic.config,CustomRestExceptionHandler,0,56,0,2,0,9,0,3,0,2
selic,com.challenge.selic.core.calculo.api.dto,CalcularJuroDTO.ProdutoDTO,122,43,28,0,0,6,17,9,3,9
selic,com.challenge.selic.core.calculo.api.dto,CalcularJuroDTO,98,30,22,0,0,6,15,7,4,7
selic,com.challenge.selic.core.calculo.api.dto,CalcularJuroDTO.CalcularJuroDTOBuilder,6,21,0,0,0,1,1,4,1,4
selic,com.challenge.selic.core.calculo.api.dto,ListaParcelaDTO,0,37,0,0,0,7,0,7,0,7
selic,com.challenge.selic.core.calculo.api.dto,CalcularJuroDTO.CondicaoPagamentoDTO,89,30,20,0,1,4,13,5,3,5
selic,com.challenge.selic.core.calculo.api.dto,ListaParcelaDTO.ListaParcelaDTOBuilder,12,42,0,0,0,1,1,7,1,7
selic,com.challenge.selic.core.calculo.application.command,CalcularJuroCommand.CalcularJuroCommandBuilder,16,25,2,2,0,1,3,4,1,4
selic,com.challenge.selic.core.calculo.application.command,CalcularJuroCommand.ProdutoCmd.ProdutoCmdBuilder,23,34,3,3,0,1,4,5,1,5
selic,com.challenge.selic.core.calculo.application.command,CalcularJuroCommand,88,65,21,9,0,4,19,6,4,6
selic,com.challenge.selic.core.calculo.application.command,CalcularJuroCommand.CondicaoPagamentoCmd,66,67,17,9,0,4,15,6,2,6
selic,com.challenge.selic.core.calculo.application.command,CalcularJuroCommand.ProdutoCmd,125,85,30,12,0,5,26,7,5,7
selic,com.challenge.selic.core.calculo.dominio,Calculo,328,190,70,8,1,35,47,17,12,13
selic,com.challenge.selic.core.calculo.dominio,Calculo.CalculoBuilder,10,56,0,6,0,1,1,9,1,6
selic,com.challenge.selic.core.calculo.exception,CalculoConstraintException,0,4,0,0,0,2,0,1,0,1
selic,com.challenge.selic.core.calculo.exception,CalculoValorEntradaMaiorIgualQueValorProdutoConstraintException,0,3,0,0,0,1,0,1,0,1
selic,com.challenge.selic.core.calculo.dominio.event,CalculoExecutadoEvent.CalculoExecutadoEventBuilder,18,63,0,0,0,1,1,10,1,10
selic,com.challenge.selic.core.calculo.dominio.event,CalculoExecutadoEvent,340,70,70,0,5,16,51,7,16,7
selic,com.challenge.selic.core.calculo.application,CalculoApplicationService,0,181,0,10,0,33,0,12,0,7
selic,com.challenge.selic.core.calculo.repository,SelicTableClient,0,22,0,0,0,3,0,2,0,2
selic,com.challenge.selic.core.calculo.repository,SelicTableClient.SelicObject,0,22,0,0,0,3,0,4,0,4
selic,com.challenge.selic.core.calculo.repository,SelicTableClient.SelicObject.SelicObjectBuilder,6,21,0,0,0,1,1,4,1,4
selic,com.challenge.selic.util,AbstractDomainEvent,9,19,1,1,2,7,2,3,1,3
selic,com.challenge.selic.util,Utils,11,53,0,2,4,13,2,5,2,4
selic,com.challenge.selic.util,ValidateService,0,27,0,2,0,7,0,3,0,2
selic,com.challenge.selic.core.calculo.api,TaxaSelicController,0,14,0,0,0,3,0,3,0,3
selic,com.challenge.selic.core.calculo.api,CalculoController,0,99,0,2,0,23,0,4,0,3
